datasaet: cora,  model: ncgnn.
time of construct data:0.25305795669555664
epoch: 0, val_loss: 1.8005341291427612
epoch: 1, val_loss: 1.6993754506111145
epoch: 2, val_loss: 1.5936369895935059
epoch: 3, val_loss: 1.477461814880371
epoch: 4, val_loss: 1.3659517765045166
epoch: 5, val_loss: 1.264578640460968
epoch: 6, val_loss: 1.176044225692749
epoch: 7, val_loss: 1.100545883178711
epoch: 8, val_loss: 1.0418742299079895
epoch: 9, val_loss: 0.994686096906662
epoch: 10, val_loss: 0.9564619958400726
epoch: 11, val_loss: 0.9301034212112427
epoch: 12, val_loss: 0.9101968705654144
epoch: 13, val_loss: 0.900494784116745
epoch: 14, val_loss: 0.8896198272705078
epoch: 15, val_loss: 0.8821212947368622
epoch: 16, val_loss: 0.8765222430229187
epoch: 17, val_loss: 0.8773662745952606
epoch: 18, val_loss: 0.8765794336795807
epoch: 19, val_loss: 0.8817846775054932
epoch: 20, val_loss: 0.8844626843929291
epoch: 21, val_loss: 0.8881026804447174
Final epoch: 21
beta:0.6,accuracy:0.669921875

epoch: 0, val_loss: 1.810329020023346
epoch: 1, val_loss: 1.7001498937606812
epoch: 2, val_loss: 1.5906813740730286
epoch: 3, val_loss: 1.4722298383712769
epoch: 4, val_loss: 1.3516627550125122
epoch: 5, val_loss: 1.2416764497756958
epoch: 6, val_loss: 1.1464835405349731
epoch: 7, val_loss: 1.0659837126731873
epoch: 8, val_loss: 0.9994694292545319
epoch: 9, val_loss: 0.9452096819877625
epoch: 10, val_loss: 0.9037523865699768
epoch: 11, val_loss: 0.8757815062999725
epoch: 12, val_loss: 0.8534544110298157
epoch: 13, val_loss: 0.8352397978305817
epoch: 14, val_loss: 0.8197050392627716
epoch: 15, val_loss: 0.812828004360199
epoch: 16, val_loss: 0.8086310625076294
epoch: 17, val_loss: 0.8037478625774384
epoch: 18, val_loss: 0.8026845157146454
epoch: 19, val_loss: 0.8053794205188751
epoch: 20, val_loss: 0.8045703768730164
epoch: 21, val_loss: 0.8049172461032867
epoch: 22, val_loss: 0.8092384338378906
epoch: 23, val_loss: 0.8124239444732666
Final epoch: 23
time of one train:4.769425868988037
beta:0.8,accuracy:0.697265625

epoch: 0, val_loss: 1.8131733536720276
epoch: 1, val_loss: 1.6900609731674194
epoch: 2, val_loss: 1.567924439907074
epoch: 3, val_loss: 1.432922124862671
epoch: 4, val_loss: 1.2970449924468994
epoch: 5, val_loss: 1.1756137609481812
epoch: 6, val_loss: 1.075225055217743
epoch: 7, val_loss: 0.9925358593463898
epoch: 8, val_loss: 0.9246423542499542
epoch: 9, val_loss: 0.8728923499584198
