datasaet: amazon_computer,  model: sage.
time of construct data:54.04215860366821
epoch: 0, val_loss: 1.930182933807373
epoch: 1, val_loss: 1.659973382949829
epoch: 2, val_loss: 1.5259054899215698
epoch: 3, val_loss: 1.427194595336914
epoch: 4, val_loss: 1.2808462381362915
epoch: 5, val_loss: 1.1929116249084473
epoch: 6, val_loss: 1.1027648448944092
epoch: 7, val_loss: 1.0928490161895752
epoch: 8, val_loss: 1.0405876636505127
epoch: 9, val_loss: 1.0044163465499878
epoch: 10, val_loss: 0.9741392731666565
epoch: 11, val_loss: 0.9690565466880798
epoch: 12, val_loss: 1.0139667987823486
epoch: 13, val_loss: 0.9560087323188782
epoch: 14, val_loss: 0.9225582480430603
epoch: 15, val_loss: 0.9348291158676147
epoch: 16, val_loss: 0.8956183195114136
epoch: 17, val_loss: 0.9130228161811829
epoch: 18, val_loss: 0.8765985369682312
epoch: 19, val_loss: 0.8930769562721252
epoch: 20, val_loss: 0.8595370650291443
epoch: 21, val_loss: 0.8866550326347351
epoch: 22, val_loss: 0.8756064176559448
epoch: 23, val_loss: 0.8809244632720947
epoch: 24, val_loss: 0.8468054533004761
epoch: 25, val_loss: 0.8745218515396118
epoch: 26, val_loss: 0.8702734112739563
epoch: 27, val_loss: 0.8876442313194275
epoch: 28, val_loss: 0.894726574420929
epoch: 29, val_loss: 0.8696079850196838
Final epoch: 29
beta:0.0,accuracy:0.744140625

time of one repeat:208.54875016212463
time of construct data:54.458194732666016
epoch: 0, val_loss: 1.9446823596954346
epoch: 1, val_loss: 1.5969444513320923
epoch: 2, val_loss: 1.5007299184799194
epoch: 3, val_loss: 1.3215532302856445
epoch: 4, val_loss: 1.2837390899658203
epoch: 5, val_loss: 1.2287743091583252
epoch: 6, val_loss: 1.1809451580047607
epoch: 7, val_loss: 1.0865503549575806
epoch: 8, val_loss: 1.101959466934204
epoch: 9, val_loss: 1.053612232208252
epoch: 10, val_loss: 1.0464566946029663
epoch: 11, val_loss: 1.0371302366256714
epoch: 12, val_loss: 0.9748556017875671
epoch: 13, val_loss: 1.0129059553146362
epoch: 14, val_loss: 1.0481488704681396
epoch: 15, val_loss: 1.106467843055725
epoch: 16, val_loss: 1.0139005184173584
epoch: 17, val_loss: 1.0461459159851074
Final epoch: 17
beta:0.0,accuracy:0.712890625

time of one repeat:137.79857087135315
time of construct data:54.34003829956055
epoch: 0, val_loss: 2.001678705215454
epoch: 1, val_loss: 1.5630875825881958
epoch: 2, val_loss: 1.4613025188446045
epoch: 3, val_loss: 1.3830125331878662
epoch: 4, val_loss: 1.30120050907135
epoch: 5, val_loss: 1.19404935836792
epoch: 6, val_loss: 1.1291766166687012
epoch: 7, val_loss: 1.105814814567566
epoch: 8, val_loss: 1.0305843353271484
epoch: 9, val_loss: 1.0058207511901855
epoch: 10, val_loss: 1.0085225105285645
epoch: 11, val_loss: 1.034400224685669
epoch: 12, val_loss: 1.0392780303955078
epoch: 13, val_loss: 0.9469102621078491
epoch: 14, val_loss: 0.9776063561439514
epoch: 15, val_loss: 0.9509241580963135
epoch: 16, val_loss: 0.9073999524116516
epoch: 17, val_loss: 0.9166741371154785
epoch: 18, val_loss: 0.9752562642097473
epoch: 19, val_loss: 0.9115051031112671
epoch: 20, val_loss: 0.9093213677406311
epoch: 21, val_loss: 0.9360741972923279
Final epoch: 21
beta:0.0,accuracy:0.716796875

time of one repeat:163.11824011802673
time of construct data:54.54408502578735
epoch: 0, val_loss: 2.2334330081939697
epoch: 1, val_loss: 1.8226176500320435
epoch: 2, val_loss: 1.5047343969345093
epoch: 3, val_loss: 1.3747442960739136
epoch: 4, val_loss: 1.2958922386169434
epoch: 5, val_loss: 1.2713230848312378
epoch: 6, val_loss: 1.179925560951233
epoch: 7, val_loss: 1.1638123989105225
epoch: 8, val_loss: 1.0894593000411987
epoch: 9, val_loss: 1.0503275394439697
epoch: 10, val_loss: 1.0223214626312256
epoch: 11, val_loss: 1.0076738595962524
epoch: 12, val_loss: 0.9725213050842285
epoch: 13, val_loss: 0.9764376878738403
epoch: 14, val_loss: 0.9378842115402222
epoch: 15, val_loss: 0.9374116659164429
epoch: 16, val_loss: 1.058597445487976
epoch: 17, val_loss: 0.943198025226593
epoch: 18, val_loss: 0.8826712965965271
epoch: 19, val_loss: 0.9138115644454956
epoch: 20, val_loss: 0.9523553252220154
epoch: 21, val_loss: 0.9328913688659668
epoch: 22, val_loss: 0.8869166970252991
epoch: 23, val_loss: 0.9004336595535278
Final epoch: 23
beta:0.0,accuracy:0.724609375

time of one repeat:175.39919781684875
time of construct data:54.60417580604553
epoch: 0, val_loss: 2.813033103942871
epoch: 1, val_loss: 1.8464611768722534
epoch: 2, val_loss: 1.680454969406128
epoch: 3, val_loss: 1.4386889934539795
epoch: 4, val_loss: 1.3522640466690063
epoch: 5, val_loss: 1.2777503728866577
epoch: 6, val_loss: 1.194361925125122
epoch: 7, val_loss: 1.1204501390457153
epoch: 8, val_loss: 1.104547142982483
epoch: 9, val_loss: 1.052335500717163
epoch: 10, val_loss: 1.0195472240447998
epoch: 11, val_loss: 1.0870574712753296
epoch: 12, val_loss: 1.0125616788864136
epoch: 13, val_loss: 0.9637653827667236
epoch: 14, val_loss: 0.9513933062553406
epoch: 15, val_loss: 0.9945222735404968
epoch: 16, val_loss: 0.9286370873451233
epoch: 17, val_loss: 0.931333601474762
epoch: 18, val_loss: 0.921572208404541
epoch: 19, val_loss: 0.9564054012298584
epoch: 20, val_loss: 0.9118967056274414
epoch: 21, val_loss: 0.8918471336364746
epoch: 22, val_loss: 0.9204680323600769
epoch: 23, val_loss: 0.8843804001808167
epoch: 24, val_loss: 0.9007909297943115
epoch: 25, val_loss: 0.9469751119613647
epoch: 26, val_loss: 0.8743782043457031
epoch: 27, val_loss: 0.869086742401123
epoch: 28, val_loss: 0.8969482183456421
epoch: 29, val_loss: 0.8546894788742065
epoch: 30, val_loss: 0.9088470935821533
epoch: 31, val_loss: 0.9150550961494446
epoch: 32, val_loss: 0.9090970158576965
epoch: 33, val_loss: 0.9184345006942749
epoch: 34, val_loss: 0.8857762217521667
Final epoch: 34
beta:0.0,accuracy:0.7548828125

time of one repeat:213.30711007118225
time of construct data:55.65919542312622
epoch: 0, val_loss: 1.8992778062820435
epoch: 1, val_loss: 1.6377818584442139
epoch: 2, val_loss: 1.3805948495864868
epoch: 3, val_loss: 1.259190559387207
epoch: 4, val_loss: 1.142935037612915
epoch: 5, val_loss: 1.1013853549957275
epoch: 6, val_loss: 1.0306670665740967
epoch: 7, val_loss: 1.0227880477905273
epoch: 8, val_loss: 0.9886883497238159
epoch: 9, val_loss: 0.9774466156959534
epoch: 10, val_loss: 0.9487059116363525
epoch: 11, val_loss: 0.8819404244422913
epoch: 12, val_loss: 0.9235855937004089
epoch: 13, val_loss: 0.9059567451477051
epoch: 14, val_loss: 0.8927596211433411
epoch: 15, val_loss: 0.8342304825782776
epoch: 16, val_loss: 0.8343439102172852
epoch: 17, val_loss: 0.8086395263671875
epoch: 18, val_loss: 0.8591381311416626
epoch: 19, val_loss: 0.8042906522750854
epoch: 20, val_loss: 0.8350955247879028
epoch: 21, val_loss: 0.8777339458465576
epoch: 22, val_loss: 0.9155412912368774
epoch: 23, val_loss: 0.826846182346344
epoch: 24, val_loss: 0.8134016394615173
Final epoch: 24
beta:0.0,accuracy:0.77197265625

time of one repeat:175.3412046432495
time of construct data:56.01460576057434
